Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias;;;;;;;;;;;;;;;;;;;;;;
Variável - Área plantada (Hectares);;;;;;;;;;;;;;;;;;;;;;
Cód.;Município;Ano x Produto das lavouras temporárias;;;;;;;;;;;;;;;;;;;;
Cód.;Município;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Cód.;Município;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar
3530201;Mirante do Paranapanema (SP);-;-;35,35;-;-;3,27;29,69;31,16;43,46;84,74;79,39;86,57;88,12;90,76;91,25;89,39;93,34;89,47;85,15;80,64;74,78
3530300;Mirassol (SP);26,09;25,30;38,89;45,07;51,88;55,70;66,93;74,57;83,76;86,61;87,19;85,72;83,77;87,26;87,20;80,51;78,43;80,55;82,21;78,32;78,69
3530409;Mirassolândia (SP);-;-;-;38,42;45,43;37,78;61,79;83,44;76,39;76,39;87,53;85,84;84,39;87,98;100,00;88,82;87,82;97,28;96,53;97,36;85,22
3530508;Mococa (SP);76,18;62,35;60,20;70,32;68,64;68,69;68,59;67,99;72,40;72,40;70,32;72,12;71,48;71,21;69,76;69,28;69,50;69,50;69,50;77,84;75,22
3530607;Mogi das Cruzes (SP);-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-
3530706;Mogi Guaçu (SP);36,30;34,28;43,05;39,20;37,50;38,79;41,00;42,27;50,70;50,70;57,49;56,31;60,90;56,51;67,37;59,87;56,45;56,61;44,69;51,48;50,84
3530805;Mogi Mirim (SP);40,59;36,98;36,83;40,15;37,95;41,36;39,17;100,00;41,73;41,73;52,71;48,81;46,70;54,61;68,15;54,37;51,76;50,98;53,78;44,06;43,87
3530904;Mombuca (SP);98,93;98,83;98,83;98,79;99,01;98,41;98,91;99,31;98,97;99,09;99,09;99,23;99,57;99,52;99,03;98,76;98,26;98,26;98,26;97,63;97,48
3531001;Monções (SP);...;-;10,04;-;-;0,00;86,90;92,19;94,40;98,50;99,30;97,44;97,05;78,16;89,90;99,49;97,53;81,29;80,26;77,63;81,14
3531100;Mongaguá (SP);-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
3531209;Monte Alegre do Sul (SP);11,29;13,07;-;-;-;-;11,90;33,23;28,35;28,35;28,35;38,04;35,53;35,57;35,03;35,03;35,73;34,64;31,51;31,51;33,48
3531308;Monte Alto (SP);65,60;67,81;62,55;62,40;66,18;75,08;72,57;65,01;73,17;65,04;67,26;74,85;70,45;77,97;77,72;78,38;76,31;80,42;80,65;81,77;81,77
3531407;Monte Aprazível (SP);64,02;46,10;62,13;82,62;74,40;75,32;86,95;90,56;88,88;96,18;96,18;94,76;96,08;94,73;94,44;91,04;90,82;89,56;90,03;85,89;87,30
3531506;Monte Azul Paulista (SP);70,00;72,04;72,67;79,01;79,18;83,99;84,95;86,33;95,14;97,80;97,31;96,55;92,94;94,07;93,19;92,94;94,00;93,68;93,39;95,00;95,00
3531605;Monte Castelo (SP);-;-;-;-;-;0,00;2,72;28,61;96,67;96,73;93,85;94,82;96,61;94,20;96,40;96,88;97,19;94,55;99,88;99,19;90,17
3531704;Monteiro Lobato (SP);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17,24;-;-;-;...
3531803;Monte Mor (SP);-;58,21;77,34;62,86;73,75;73,81;78,05;79,40;76,74;99,94;...;72,73;24,62;84,15;78,02;81,40;0,41;81,40;78,61;78,61;79,50
3531902;Morro Agudo (SP);74,92;76,10;69,93;83,26;79,59;82,74;84,48;83,63;88,81;88,22;86,42;87,75;84,83;82,50;85,41;82,98;82,97;86,47;87,71;87,32;87,21
3532009;Morungaba (SP);-;-;-;-;-;-;-;-;-;-;19,54;28,44;28,44;28,44;27,17;1,23;1,23;0,31;0,28;0,28;0,26
3532058;Motuca (SP);91,86;93,87;93,25;93,25;90,94;91,84;91,84;92,17;97,66;100,00;98,70;98,57;92,74;92,74;92,74;92,24;92,64;91,60;93,80;92,10;92,10
3532108;Murutinga do Sul (SP);-;-;4,75;-;-;7,71;23,16;46,33;50,48;76,28;85,80;92,47;93,96;93,26;86,12;90,91;90,91;99,27;95,42;86,96;86,96
3532157;Nantes (SP);33,69;43,66;57,84;39,32;36,57;31,68;35,99;33,94;30,14;31,23;32,46;32,46;33,13;18,37;15,47;18,07;16,67;19,84;22,04;22,21;24,93
3532207;Narandiba (SP);-;13,98;14,54;16,54;28,90;26,52;39,97;63,16;68,88;81,14;81,14;76,46;92,47;94,12;99,97;99,86;96,81;97,39;97,94;97,94;84,39
3532306;Natividade da Serra (SP);12,47;25,04;-;-;-;8,00;0,59;0,40;8,61;8,61;5,01;5,06;-;17,86;27,27;-;-;-;-;-;-
3532405;Nazaré Paulista (SP);14,85;-;16,33;20,41;24,84;13,86;5,37;5,95;6,49;6,49;6,68;5,48;1,79;3,55;5,38;5,91;5,91;5,91;5,96;6,34;7,03
3532504;Neves Paulista (SP);29,35;34,40;35,63;39,92;34,45;46,05;92,23;92,72;95,33;97,48;97,48;97,10;96,96;93,29;95,83;96,86;97,45;97,20;97,00;87,18;77,83
3532603;Nhandeara (SP);23,24;25,05;3,21;2,98;54,81;63,25;63,04;75,26;83,39;90,64;90,64;88,81;94,46;95,37;94,18;92,24;91,97;91,94;92,32;89,52;84,71
3532702;Nipoã (SP);63,85;58,00;70,55;83,66;80,31;95,51;98,64;97,86;98,67;96,45;96,45;95,08;94,18;96,15;97,16;81,36;96,98;96,23;96,03;91,05;91,11
3532801;Nova Aliança (SP);-;-;7,43;6,11;15,61;37,78;56,39;89,17;92,36;93,15;92,87;92,47;91,67;92,07;91,45;91,95;90,21;93,26;89,13;94,49;97,71
3532827;Nova Campina (SP);-;-;-;-;-;-;-;-;-;-;-;0,77;-;-;-;-;-;-;-;-;0,42
3532843;Nova Canaã Paulista (SP);-;-;-;-;-;-;-;23,51;54,55;46,90;30,46;40,40;73,08;78,17;77,44;88,46;89,32;93,40;95,52;94,07;95,18
3532868;Nova Castilho (SP);26,46;24,02;17,44;16,28;29,33;24,93;81,41;85,23;16,15;77,59;82,57;78,23;75,63;64,74;77,27;69,99;75,23;77,02;73,01;75,38;77,38
3532900;Nova Europa (SP);86,15;88,50;89,72;89,72;90,28;90,70;90,70;91,03;88,38;100,00;93,52;93,59;87,27;87,29;87,29;87,29;83,42;84,95;85,41;84,49;75,94
3533007;Nova Granada (SP);10,94;22,19;37,41;27,17;29,42;37,06;60,24;62,37;46,88;46,88;61,37;75,71;77,59;72,99;79,62;75,49;83,83;78,04;82,21;78,38;82,00
3533106;Nova Guataporanga (SP);-;-;-;-;59,35;64,42;38,25;52,63;76,60;76,60;74,00;75,51;75,51;81,82;84,38;83,10;85,07;95,74;97,44;89,83;96,94
3533205;Nova Independência (SP);-;-;-;-;-;4,16;42,24;49,14;48,57;93,39;93,39;98,78;98,87;98,58;99,53;99,69;100,00;99,69;99,72;99,89;99,89
3533254;Novais (SP);93,63;95,03;94,90;94,96;93,35;95,33;98,28;89,91;98,14;95,12;99,50;99,26;95,50;88,89;81,30;97,09;84,02;83,81;86,55;86,57;88,09
3533304;Nova Luzitânia (SP);51,09;64,29;70,10;74,10;64,72;74,07;80,33;82,89;77,19;88,75;87,67;77,21;85,63;88,39;82,46;93,82;94,95;98,56;97,37;88,09;87,40
3533403;Nova Odessa (SP);89,55;90,57;90,60;91,56;91,56;91,93;91,56;97,93;92,21;100,00;...;94,60;94,60;95,85;100,00;100,00;100,00;100,00;100,00;75,95;66,48
3533502;Novo Horizonte (SP);55,84;75,04;81,05;81,26;81,82;81,08;84,97;84,87;89,30;90,88;91,14;91,70;93,37;92,47;92,28;92,24;92,19;91,14;93,01;94,37;94,54
3533601;Nuporanga (SP);44,12;50,00;62,44;58,45;60,86;63,33;64,79;70,74;72,53;82,39;82,51;81,21;79,19;80,28;82,18;82,18;82,50;80,58;79,94;79,87;79,87
3533700;Ocauçu (SP);-;-;-;-;-;-;0,00;39,90;70,79;85,30;54,07;57,16;44,86;49,10;40,18;44,70;39,47;28,54;24,42;26,81;30,03
3533809;Óleo (SP);8,89;8,92;4,58;9,41;9,86;8,88;19,27;17,58;17,07;23,07;21,87;21,95;20,49;26,82;40,63;47,60;49,09;49,09;49,09;29,32;26,99
3533908;Olímpia (SP);80,00;85,07;83,97;91,61;89,52;87,90;92,37;93,14;95,57;95,86;95,32;92,84;98,42;98,32;98,15;96,29;96,27;96,29;96,73;98,35;96,62
3534005;Onda Verde (SP);89,19;90,60;90,60;87,37;89,24;87,75;86,51;89,61;95,40;95,40;96,71;95,90;95,85;94,73;90,32;93,72;92,32;92,12;88,77;90,85;90,46
3534104;Oriente (SP);-;-;-;-;-;-;-;-;93,11;99,82;94,94;94,34;94,29;94,12;94,79;96,67;97,85;94,45;92,12;91,18;58,93
3534203;Orindiúva (SP);92,24;90,85;91,09;93,71;87,98;92,39;92,09;95,55;93,23;93,23;86,25;91,36;91,30;88,62;88,62;86,62;90,88;91,25;90,65;91,03;83,80
3534302;Orlândia (SP);87,15;87,74;86,98;84,82;85,11;87,44;87,32;87,75;88,52;88,67;88,67;89,25;87,17;89,33;88,67;88,03;88,87;88,87;87,59;87,46;87,46
3534401;Osasco (SP);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
3534500;Oscar Bressane (SP);-;-;-;-;-;-;0,00;8,78;10,47;23,92;25,78;20,94;14,40;22,05;13,20;34,51;40,10;36,51;36,24;34,88;40,62
3534609;Osvaldo Cruz (SP);9,30;6,56;12,15;56,14;57,74;29,28;71,23;74,60;75,54;80,94;90,12;89,28;90,75;92,60;91,95;92,55;87,80;90,87;91,20;66,67;82,25
3534708;Ourinhos (SP);73,96;62,31;62,74;58,86;60,29;62,15;72,43;68,43;76,28;75,97;77,54;77,03;74,85;75,04;76,52;73,23;69,24;69,90;68,99;72,50;74,43
3534757;Ouroeste (SP);4,55;4,36;4,18;4,00;9,91;4,18;17,74;17,76;36,12;61,97;64,70;57,30;57,30;65,38;90,24;90,24;75,51;75,76;81,95;83,56;82,51
3534807;Ouro Verde (SP);-;-;-;-;50,09;66,74;71,23;85,34;91,50;96,77;97,27;96,95;98,76;95,34;98,32;99,27;99,68;95,21;99,76;82,74;89,15
3534906;Pacaembu (SP);-;-;40,69;64,83;54,67;68,75;66,50;87,81;82,85;86,30;81,64;83,36;82,89;80,76;78,99;80,01;85,01;82,11;75,22;84,86;79,28
3535002;Palestina (SP);24,05;19,02;20,85;24,08;40,57;41,79;60,94;83,37;84,25;84,25;89,62;91,84;92,49;88,63;88,63;88,63;91,48;87,83;92,46;87,69;87,58
3535101;Palmares Paulista (SP);99,66;98,36;98,36;96,37;89,71;93,28;91,46;90,25;90,04;94,61;97,84;92,83;92,52;93,02;93,02;91,05;84,83;90,65;96,42;94,48;94,07
3535200;Palmeira d'Oeste (SP);-;-;-;-;-;-;-;58,82;-;58,61;62,14;57,61;64,52;62,50;87,62;80,64;80,39;80,39;85,93;92,92;92,92
3535309;Palmital (SP);9,63;9,92;11,46;10,45;11,03;14,80;19,21;25,48;23,98;28,90;29,52;32,84;32,04;31,44;33,02;32,81;32,82;29,41;29,35;26,04;26,99
3535408;Panorama (SP);-;-;-;-;-;-;-;-;0,00;-;87,83;89,34;94,59;92,51;94,80;93,80;92,99;94,30;91,68;93,21;93,29
3535507;Paraguaçu Paulista (SP);86,64;89,18;86,55;80,86;81,55;81,66;87,66;88,24;88,30;89,58;87,72;87,78;83,85;85,86;83,38;85,67;82,75;83,50;84,35;81,80;81,69
3535606;Paraibuna (SP);-;7,50;26,49;20,27;20,41;21,96;10,94;23,62;36,81;32,93;32,93;-;-;-;-;-;42,25;-;-;-;...
3535705;Paraíso (SP);97,76;97,19;97,54;89,21;89,21;92,68;98,88;98,47;98,45;98,06;97,43;96,26;96,26;86,14;83,22;91,02;92,05;93,05;92,60;88,85;89,39
3535804;Paranapanema (SP);3,79;4,44;2,72;2,15;1,86;1,23;1,73;1,00;0,87;4,50;4,82;5,54;6,46;3,52;3,14;6,74;5,43;5,33;5,35;4,07;4,56
3535903;Paranapuã (SP);-;5,56;4,53;3,54;5,31;5,41;7,12;14,93;11,71;63,75;87,32;83,60;87,14;84,90;93,90;93,54;92,79;95,88;96,33;90,65;94,43
3536000;Parapuã (SP);69,26;70,73;84,72;75,52;74,87;83,02;78,33;83,16;81,14;84,25;84,59;71,26;83,02;81,23;76,80;72,08;69,35;68,06;68,67;75,32;66,26
3536109;Pardinho (SP);-;-;-;-;-;-;-;-;19,48;13,85;10,70;10,93;-;6,11;4,32;3,05;2,95;3,07;3,14;1,77;1,77
3536208;Pariquera-Açu (SP);...;-;44,25;-;-;74,06;19,12;-;56,07;58,82;10,45;9,09;8,54;8,54;8,54;-;1,88;1,88;1,77;2,38;2,38
3536257;Parisi (SP);-;-;-;-;-;-;-;36,76;28,94;87,30;56,08;68,85;55,60;66,67;66,12;65,04;62,11;77,43;75,22;69,22;70,18
3536307;Patrocínio Paulista (SP);54,75;56,77;59,18;63,17;64,39;61,48;65,19;83,04;92,10;94,42;91,72;95,14;92,18;93,74;94,05;90,71;90,58;89,58;91,46;91,91;93,28
3536406;Paulicéia (SP);-;-;-;-;-;-;-;43,03;89,49;89,49;99,60;99,38;99,89;99,87;99,87;99,60;99,74;96,55;99,78;97,44;96,15
3536505;Paulínia (SP);-;-;86,16;82,96;84,20;94,54;93,70;85,41;93,42;...;...;...;98,01;97,98;100,00;98,09;98,01;98,01;98,01;98,01;...
3536570;Paulistânia (SP);72,06;76,15;76,45;77,10;77,10;78,02;77,52;79,67;76,80;79,60;79,67;78,79;79,50;79,50;5,14;27,14;96,46;62,44;59,10;59,10;66,22
3536604;Paulo de Faria (SP);60,32;58,69;62,99;57,15;65,57;65,05;72,29;79,06;84,00;85,68;84,16;85,63;87,13;85,60;85,78;87,39;87,96;88,56;87,28;90,53;90,45
3536703;Pederneiras (SP);96,93;98,34;97,96;97,14;93,84;94,28;95,94;97,42;96,32;96,98;95,54;94,92;96,32;96,32;96,32;91,45;92,13;90,53;89,58;89,58;85,14
3536802;Pedra Bela (SP);-;-;-;-;-;-;-;-;1,95;1,95;3,32;2,83;1,08;1,05;1,12;1,12;0,90;0,80;1,00;0,88;0,89
3536901;Pedranópolis (SP);20,60;29,41;31,71;39,71;27,04;29,47;29,73;46,64;87,67;96,62;99,14;97,11;90,39;94,12;96,30;100,00;95,77;93,02;94,94;93,96;95,37
3537008;Pedregulho (SP);28,04;29,41;58,00;41,67;57,77;42,88;60,05;70,41;76,37;88,11;88,75;83,17;82,35;66,69;81,58;76,57;77,09;21,62;74,57;74,64;74,86
3537107;Pedreira (SP);20,00;21,43;19,61;20,00;20,69;24,60;24,00;39,37;25,21;25,21;25,21;31,91;44,12;32,61;28,04;29,13;-;-;-;-;-
3537156;Pedrinhas Paulista (SP);-;-;-;1,05;1,41;2,16;2,26;2,55;6,93;8,49;8,83;8,24;15,12;15,38;15,29;6,73;15,42;15,54;14,01;13,98;13,99
3537206;Pedro de Toledo (SP);-;...;-;...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;-;-;-
3537305;Penápolis (SP);91,72;93,12;94,43;94,16;94,12;92,19;95,46;95,97;97,61;100,00;98,64;98,55;96,42;88,63;81,02;98,30;97,61;96,61;95,59;84,80;85,20
3537404;Pereira Barreto (SP);11,68;22,55;11,61;30,14;18,65;14,92;52,59;64,57;78,23;80,08;75,29;87,56;89,29;79,40;90,44;88,55;87,71;91,06;91,06;86,87;87,73
3537503;Pereiras (SP);15,03;18,18;17,29;17,29;18,94;33,42;35,68;73,58;60,98;...;100,00;87,67;92,59;46,67;47,37;45,57;56,25;56,25;-;65,36;65,36
3537602;Peruíbe (SP);40,22;...;...;...;...;...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;-
3537701;Piacatu (SP);45,24;48,97;54,76;68,02;68,24;72,60;77,86;77,39;79,51;89,20;88,80;90,21;92,24;94,95;93,43;84,48;82,65;90,98;93,03;97,03;95,31
3537800;Piedade (SP);0,71;1,34;4,31;3,96;7,43;1,79;0,18;6,89;1,91;0,34;0,26;-;-;-;-;-;-;-;-;-;-
3537909;Pilar do Sul (SP);0,68;1,24;-;-;-;-;-;-;-;-;2,02;-;-;-;-;-;-;-;-;-;-
3538006;Pindamonhangaba (SP);0,22;0,30;2,07;2,22;2,10;2,24;2,22;2,14;1,02;1,09;0,96;0,96;0,18;0,18;-;-;-;-;-;-;-
3538105;Pindorama (SP);94,27;94,19;94,19;92,29;91,94;83,64;96,29;94,47;96,63;96,93;97,24;96,62;96,51;96,51;95,69;95,97;95,56;95,42;95,85;92,96;92,96
3538204;Pinhalzinho (SP);-;-;-;-;-;-;-;-;-;-;1,52;1,47;-;-;-;-;-;-;0,52;0,52;0,35
3538303;Piquerobi (SP);-;-;-;-;-;23,27;73,43;67,61;74,99;82,30;81,80;78,92;82,15;82,47;80,15;75,23;86,56;31,99;16,29;12,01;33,39
3538501;Piquete (SP);-;-;-;-;-;-;-;-;-;-;-;-;-;...;...;-;-;...;-;-;-
3538600;Piracaia (SP);-;11,23;9,51;9,50;8,07;9,70;72,46;10,38;20,90;20,90;29,24;32,74;20,73;19,51;22,62;19,31;18,32;18,32;22,62;22,73;23,15
3538709;Piracicaba (SP);94,43;93,45;94,86;94,76;94,71;94,67;94,22;95,24;95,82;96,75;96,85;96,56;94,76;95,22;95,11;94,72;94,41;94,41;94,55;93,18;93,19
3538808;Piraju (SP);-;16,23;6,45;6,20;6,36;5,85;22,93;15,89;15,21;30,79;23,09;22,88;20,06;28,23;26,83;26,83;22,01;21,41;21,41;12,22;12,65
3538907;Pirajuí (SP);60,98;62,37;69,12;80,83;44,88;56,54;75,71;59,59;80,70;87,70;88,51;91,21;91,84;91,84;91,84;96,08;85,56;85,11;86,44;86,44;80,33
3539004;Pirangi (SP);91,12;91,68;92,97;91,85;89,29;89,78;93,73;94,29;95,28;94,89;94,97;95,06;94,47;93,17;92,13;93,84;94,32;92,12;93,07;92,29;97,46
3539103;Pirapora do Bom Jesus (SP);...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
3539202;Pirapozinho (SP);26,62;34,29;28,09;29,66;22,44;25,37;31,89;56,54;82,97;96,36;97,80;96,28;96,46;97,58;95,95;95,73;88,72;93,00;87,26;87,26;92,33
3539301;Pirassununga (SP);47,98;53,18;65,22;49,93;41,74;48,26;49,57;63,17;66,45;74,35;73,83;75,66;73,63;71,52;69,64;69,88;69,87;65,19;67,44;63,72;66,97
3539400;Piratininga (SP);-;35,09;24,10;18,69;7,92;8,05;18,92;19,53;32,18;73,47;74,52;71,81;81,60;81,60;85,11;94,82;94,82;77,01;70,35;77,24;77,15
3539509;Pitangueiras (SP);91,29;83,75;94,69;94,69;93,26;91,18;92,07;93,16;92,98;93,84;93,92;93,87;96,89;97,40;94,46;95,20;95,21;93,91;93,91;89,07;94,60
3539608;Planalto (SP);15,88;16,87;23,94;31,34;32,20;46,64;61,37;76,65;80,74;87,81;90,17;89,71;88,72;88,92;90,46;91,65;91,87;92,75;92,39;91,05;87,77
3539707;Platina (SP);16,55;17,55;18,96;20,24;18,24;23,11;25,91;24,94;28,55;27,79;25,87;27,15;26,33;26,44;32,54;32,75;31,64;27,74;33,27;32,81;32,27
3539806;Poá (SP);-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
3539905;Poloni (SP);56,07;61,04;68,66;54,50;54,52;59,69;73,77;93,05;78,10;94,93;94,93;92,46;92,17;92,40;92,54;90,77;89,55;91,32;91,60;91,19;89,33
3540002;Pompéia (SP);-;-;-;-;-;23,81;48,36;57,42;54,26;97,89;83,13;86,27;79,90;69,07;78,06;74,27;77,22;76,78;74,89;74,44;69,79
3540101;Pongaí (SP);12,72;-;-;-;-;-;-;15,48;16,06;91,91;83,07;83,87;-;90,51;89,45;94,24;86,42;82,06;86,65;88,06;91,36
3540200;Pontal (SP);89,57;89,29;90,29;87,93;89,78;87,74;88,28;90,46;89,95;93,62;93,62;95,04;95,04;95,04;95,04;90,02;90,02;90,58;90,58;90,58;90,58
3540259;Pontalinda (SP);9,97;25,06;28,23;23,04;31,15;28,51;34,69;61,19;54,88;78,16;62,07;86,85;93,42;93,74;96,82;96,86;94,70;92,92;93,08;91,92;91,13
3540309;Pontes Gestal (SP);-;-;-;-;-;55,21;57,88;82,06;78,90;96,42;96,39;84,27;88,22;84,50;84,69;82,26;84,75;81,36;74,34;86,90;84,09
3540408;Populina (SP);-;18,45;18,49;20,39;14,17;17,84;39,58;62,22;89,15;95,59;94,60;94,09;96,81;97,09;95,36;96,42;92,79;98,54;98,63;94,58;97,83
3540507;Porangaba (SP);-;-;33,20;-;-;-;36,36;27,97;44,31;26,51;29,41;29,41;-;81,40;84,06;30,74;64,15;28,45;19,04;19,00;19,00
3540606;Porto Feliz (SP);82,91;73,57;85,95;81,65;84,16;81,97;81,29;86,27;81,22;87,72;96,77;99,28;99,04;95,89;94,93;94,16;94,16;93,40;92,27;91,84;92,31
3540705;Porto Ferreira (SP);41,12;40,23;38,13;36,57;26,72;34,84;34,11;35,40;42,40;43,69;55,69;46,64;48,20;45,88;45,07;51,69;61,96;69,70;67,90;69,28;61,68
3540754;Potim (SP);-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3540804;Potirendaba (SP);5,41;14,19;12,85;14,03;26,83;47,58;55,24;84,42;90,59;95,70;94,10;93,40;92,69;93,54;89,76;90,16;92,95;91,30;89,06;89,16;80,83
3540853;Pracinha (SP);37,09;34,87;48,49;67,47;75,49;74,60;81,97;84,38;87,15;92,48;89,58;93,03;55,08;83,33;74,02;47,06;77,87;70,36;53,85;62,16;73,17
3540903;Pradópolis (SP);85,91;88,40;84,39;90,50;90,50;90,91;90,50;90,50;94,68;93,50;92,92;94,35;95,42;95,33;95,44;96,46;97,12;95,59;96,93;77,09;77,09
3541000;Praia Grande (SP);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
3541059;Pratânia (SP);77,97;72,84;73,75;70,59;84,21;74,84;87,39;88,30;89,38;88,15;93,14;93,14;94,57;93,55;93,55;95,74;95,74;90,91;89,57;89,10;89,10
3541109;Presidente Alves (SP);76,43;78,26;80,65;82,85;85,35;83,34;69,15;82,82;83,55;82,70;72,19;72,80;69,26;69,26;17,39;18,45;20,83;57,70;68,06;68,06;72,71
3541208;Presidente Bernardes (SP);37,56;37,10;17,73;18,19;13,00;22,15;29,82;-;41,55;39,99;45,36;39,41;46,02;50,26;38,60;32,03;22,01;27,42;25,48;25,64;47,98
3541307;Presidente Epitácio (SP);-;-;-;-;-;-;19,35;44,34;61,77;-;82,64;80,53;93,15;95,64;97,66;97,68;95,51;95,84;95,69;94,94;96,63
3541406;Presidente Prudente (SP);87,01;80,78;81,14;79,18;82,71;86,08;87,78;86,13;89,46;89,25;95,19;85,80;85,11;81,40;82,50;83,19;76,17;94,51;83,11;83,11;85,49
3541505;Presidente Venceslau (SP);-;-;-;35,54;30,90;35,88;72,90;76,49;88,83;96,94;93,91;94,60;78,58;85,85;91,91;92,77;91,72;87,39;79,70;67,70;85,20
3541604;Promissão (SP);61,23;54,07;51,88;58,71;73,37;79,95;79,65;88,35;85,76;...;88,36;84,16;83,45;78,86;85,87;84,30;84,20;82,62;86,39;81,93;79,64
3541653;Quadra (SP);21,05;20,55;21,07;10,85;10,98;17,20;13,90;61,68;38,13;39,34;37,60;37,61;-;45,81;50,41;42,31;94,58;61,97;59,26;52,62;62,48
3541703;Quatá (SP);89,74;87,77;88,89;88,24;86,12;87,89;90,33;88,59;87,10;82,87;89,97;90,33;87,45;89,30;90,73;90,18;88,63;89,06;89,17;89,17;88,44
3541802;Queiroz (SP);-;-;-;-;12,04;20,77;53,21;42,62;86,97;82,96;92,71;92,73;91,61;91,62;93,56;92,91;91,50;98,20;93,23;87,82;84,30
3541901;Queluz (SP);-;-;35,71;29,66;26,32;48,77;30,97;21,39;53,38;31,40;30,14;37,29;37,29;37,29;37,29;37,29;37,29;37,29;37,29;23,26;37,29
3542008;Quintana (SP);-;-;-;-;12,30;16,69;31,91;63,96;64,26;60,45;68,63;53,80;61,99;67,88;56,39;66,48;52,01;66,58;67,08;44,86;69,30
3542107;Rafard (SP);90,63;92,88;95,66;96,97;99,13;99,32;99,29;99,32;98,86;99,42;99,31;99,16;99,16;99,16;99,16;99,31;99,31;99,31;99,31;99,30;99,30
3542206;Rancharia (SP);35,17;30,46;28,73;20,67;21,48;19,67;35,21;40,45;41,85;53,89;50,54;47,95;51,29;56,01;57,94;60,30;57,62;59,63;50,33;50,33;44,00
3542305;Redenção da Serra (SP);-;-;-;-;-;-;-;20,27;-;...;37,88;65,79;-;100,00;...;-;40,00;21,05;-;20,00;15,38
3542404;Regente Feijó (SP);79,37;78,43;63,49;78,03;76,05;73,43;68,66;75,47;73,90;76,34;76,92;70,18;43,10;54,79;70,42;73,42;68,80;72,99;83,13;83,13;48,68
3542503;Reginópolis (SP);8,57;50,00;54,74;24,81;51,44;52,66;62,86;79,35;55,19;65,19;55,19;90,32;92,96;93,71;86,99;94,04;86,11;85,13;82,60;82,60;78,91
3542602;Registro (SP);-;-;-;-;-;-;-;-;-;7,69;-;-;10,15;22,99;10,15;17,95;3,59;3,59;2,12;2,08;2,22
3542701;Restinga (SP);72,68;74,32;74,16;76,46;79,68;79,01;78,61;89,86;88,44;95,30;95,08;95,42;95,37;95,45;95,45;97,45;97,51;96,77;97,51;97,51;96,35
3542800;Ribeira (SP);-;-;31,03;26,67;21,05;26,35;32,79;36,73;30,77;30,77;41,39;28,97;-;-;27,13;26,20;30,15;34,48;32,09;32,26;36,14
3542909;Ribeirão Bonito (SP);92,27;92,11;93,20;94,50;94,95;94,48;93,24;96,23;97,26;97,33;97,85;97,48;97,74;99,20;98,81;98,79;98,90;99,21;97,72;97,72;99,04
3543006;Ribeirão Branco (SP);-;-;-;-;-;-;-;-;-;-;-;0,70;-;-;-;-;-;-;-;-;-
3543105;Ribeirão Corrente (SP);13,27;14,01;11,83;13,39;18,37;16,33;20,35;30,99;61,54;71,12;76,99;72,76;76,03;72,08;73,51;84,22;87,99;92,54;92,54;92,54;89,50
3543204;Ribeirão do Sul (SP);11,57;25,13;15,06;11,39;10,68;12,90;32,22;18,29;20,60;25,08;34,54;35,68;31,93;33,62;34,86;22,45;21,21;16,47;14,13;11,63;14,60
3543238;Ribeirão dos Índios (SP);0,93;-;-;-;-;64,74;72,41;64,20;80,07;73,26;75,81;80,62;88,26;86,79;87,60;86,84;91,22;91,88;77,35;58,37;42,61
3543253;Ribeirão Grande (SP);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,04;0,04
3543303;Ribeirão Pires (SP);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;-;...;...;...;...
3543402;Ribeirão Preto (SP);91,43;92,21;91,69;91,17;91,17;91,28;90,91;91,12;92,86;96,36;96,26;96,26;96,19;96,76;96,14;96,26;96,26;96,26;96,26;93,88;93,88
3543501;Riversul (SP);-;-;-;-;-;-;-;9,56;6,39;15,70;26,21;33,17;23,26;4,52;5,00;3,56;2,10;2,32;2,69;2,39;2,11
